,0,1,2,3,4,5,6,7,8,9,10
0,30663968.0,116456.0,31100.0,330176.0,686504.0,48980.0,42943.0,20849.0,86340.0,5185.0,55706.0
1,73339.0,3112154.0,0.0,154973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,16912.0,0.0,84848.0,1407.0,32227.0,0.0,0.0,0.0,0.0,0.0,0.0
3,322733.0,92395.0,7834.0,5536888.0,7661.0,15828.0,5521.0,0.0,191.0,7518.0,61893.0
4,531655.0,0.0,5438.0,7654.0,3474528.0,878.0,1801.0,0.0,244.0,0.0,1003.0
5,81380.0,0.0,224.0,12697.0,2513.0,202110.0,179795.0,0.0,0.0,8768.0,121.0
6,47918.0,0.0,81.0,4069.0,1228.0,92069.0,97596.0,0.0,0.0,2347.0,1239.0
7,6170.0,0.0,0.0,0.0,0.0,0.0,0.0,50717.0,3989.0,0.0,5337.0
8,24358.0,0.0,0.0,0.0,0.0,0.0,0.0,12468.0,287101.0,0.0,1872.0
9,6679.0,0.0,0.0,10760.0,14397.0,12203.0,6040.0,0.0,0.0,3237.0,6.0
10,19323.0,0.0,0.0,24351.0,2270.0,0.0,0.0,10509.0,25192.0,0.0,1065488.0
